レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202609101701,2026-09-10,17,01R,10:45,2026-09-10T10:36:19.387101+09:00,19.6,26.1,19.8,115.5,24.7,13.5,8.3,85.3,31.2,14.7,10.5,118.9,17.1,8.1,9.7,66.8,200.6,200.6,205.8,232.6,191.1,193.4,167.2,802.7,401.3,517.8,445.9,729.7,272.1,642.1,297.3,1234,176.4,698.0,594.6,1146,1234,1459,1234,2006,122.5,68.9,60.3,327.6,258.9,118.9,133.7,422.4,93.8,243.2,132.6,291.9,87.7,258.9,131.5,401.3,844.9,802.7,486.5,844.9,145.9,93.8,55.5,281.6,314.7,373.3,286.6,501.7,128.4,364.8,191.1,517.8,83.1,250.8,163.8,321.0,553.6,517.8,594.6,472.1,63.9,48.3,45.7,243.2,155.8,349.0,258.9,668.9,107.7,445.9,198.2,1070,80.2,356.7,205.8,458.7,642.1,698.0,729.7,594.6,458.7,486.5,617.4,422.4,729.7,844.9,1337,1337,1337,2006,1070,1783,1234,1234,891.9,535.1,236.0,1459,1337,891.9
202609102106,2026-09-10,21,06R,10:47,2026-09-10T10:38:19.918878+09:00,43.7,76.8,19.5,26.7,83.6,73.4,75.0,130.9,136.7,167.2,201.2,188.9,25.6,55.3,94.4,56.2,42.2,127.5,209.7,72.7,52.8,90.3,19.4,37.2,65.6,94.1,27.0,62.0,180.6,168.3,102.7,190.3,17.3,21.8,38.9,12.3,61.8,83.9,201.2,23.6,175.5,162.8,125.0,275.0,196.4,143.0,76.6,235.7,399.2,321.4,405.7,773.4,153.7,123.7,252.5,217.1,495.0,392.8,634.6,339.0,369.4,603.6,271.9,434.2,386.7,405.7,202.8,392.8,515.6,634.6,353.5,773.4,325.6,287.7,369.4,369.4,618.7,419.5,750.0,505.1,42.4,114.0,225.0,81.9,30.8,49.9,87.7,28.3,196.4,148.2,348.6,231.3,339.0,375.0,458.3,434.2,89.3,41.2,201.2,255.1,54.6,213.3,441.9,80.8,69.5,152.7,321.4,43.4,343.7,219.0,603.6,321.4,773.4,603.6,853.4,550.0,87.1,59.7,220.9,317.3
202609101601,2026-09-10,16,01R,10:53,2026-09-10T10:44:25.419090+09:00,5.3,14.3,5.3,125.9,10.9,26.8,11.7,144.7,27.2,46.7,27.2,198.7,8.8,13.9,23.4,107.8,189.6,284.4,402.4,266.1,91.1,173.6,73.3,660.0,196.4,343.7,270.4,825.0,366.6,532.2,611.1,970.5,95.3,206.2,402.4,970.5,868.4,1100,970.5,1375,107.8,160.1,96.4,485.2,203.7,132.0,133.0,717.3,300.0,412.5,515.6,717.3,104.4,270.4,250.0,589.2,785.7,1031,717.3,1100,154.2,226.0,126.9,412.5,366.6,458.3,402.4,1031,402.4,687.5,358.6,1100,175.5,445.9,279.6,1031,611.1,916.6,1100,1031,57.4,123.1,151.3,257.8,122.2,336.7,532.2,868.4,168.3,284.4,660.0,1269,196.4,634.6,611.1,750.0,825.0,970.5,868.4,750.0,568.9,611.1,660.0,916.6,785.7,1178,1650,1269,970.5,1500,1178,1500,1178,1269,1650,1650,916.6,868.4,1100,1178
202609100401,2026-09-10,04,01R,10:55,2026-09-10T10:46:20.663850+09:00,26.5,58.5,28.7,105.5,24.9,45.2,16.7,86.3,92.2,81.0,63.0,146.2,36.3,19.7,57.3,68.6,185.7,213.0,280.7,235.3,50.1,85.5,60.5,96.1,70.8,118.2,71.4,209.4,146.2,150.6,130.7,242.2,70.3,68.8,135.7,199.2,297.7,537.1,514.7,466.2,31.7,43.9,18.5,81.0,59.5,62.3,36.8,134.2,69.8,94.3,49.7,121.7,20.1,34.4,38.1,51.9,193.0,290.7,202.5,146.2,153.4,138.8,122.9,235.3,242.2,228.7,216.7,294.1,166.9,207.6,116.0,247.1,114.9,152.5,121.1,156.3,484.5,449.2,433.5,333.9,46.1,32.6,100.4,108.3,78.6,72.6,152.5,187.1,34.2,59.9,88.5,116.5,132.8,185.7,127.3,194.5,202.5,247.1,175.2,239.9,297.7,348.0,411.8,380.1,466.2,882.5,882.5,667.8,574.6,726.7,392.2,466.2,650.2,988.4,617.7,602.6,418.8,466.2,433.5,494.2
202609101406,2026-09-10,14,06R,10:58,2026-09-10T10:48:18.634714+09:00,89.1,248.2,113.1,121.1,93.4,96.6,14.1,18.6,385.9,259.6,320.1,414.3,94.7,20.9,222.7,15.4,144.4,33.1,320.1,21.7,192.9,443.6,220.1,232.8,253.8,563.4,192.9,329.5,619.1,741.4,971.4,1024,258.4,242.8,894.3,272.2,440.2,485.7,1482,339.4,102.8,162.8,18.8,23.0,215.0,162.8,106.1,135.4,339.4,552.4,337.4,356.6,21.6,101.8,251.5,12.5,34.8,130.1,210.2,17.9,687.1,507.6,354.3,640.3,793.6,647.6,655.1,866.8,494.2,1104,678.8,741.4,521.7,988.5,771.8,761.4,1224,1310,1149,1043,138.1,38.3,257.2,24.2,269.6,263.3,741.4,218.3,39.3,215.8,489.9,23.2,512.2,1280,761.4,473.5,21.3,105.7,20.9,213.4,214.2,71.5,405.3,39.3,399.6,507.6,1149,370.7,71.4,283.1,485.7,37.8,1173,1104,1280,923.7,31.1,165.7,31.5,291.9
202609100501,2026-09-10,05,01R,11:03,2026-09-10T10:54:20.905857+09:00,40.7,21.1,27.2,95.4,64.6,72.7,64.6,118.6,26.1,60.8,21.5,101.8,30.4,51.5,26.8,124.7,158.7,169.7,207.1,207.1,76.3,44.1,50.3,110.1,130.0,149.0,115.3,349.2,51.5,128.6,28.7,298.1,57.3,94.7,36.1,235.0,370.4,488.9,436.5,436.5,118.6,130.0,114.2,305.5,167.4,86.0,83.7,235.0,167.4,239.6,104.4,349.2,113.1,121.0,101.8,313.4,555.6,582.0,313.4,679.0,39.8,115.3,25.1,124.7,54.3,111.1,29.1,190.9,147.2,218.2,82.0,188.0,23.9,21.5,52.4,67.5,207.1,291.0,271.6,147.2,49.2,91.2,45.1,142.1,61.1,104.4,42.7,154.7,124.7,149.0,112.1,277.8,46.1,37.3,74.0,104.4,226.3,207.1,239.6,197.1,370.4,555.6,582.0,643.3,470.1,814.9,940.2,488.9,940.2,873.1,763.9,1111,1018,940.2,814.9,452.7,531.4,611.1,555.6,555.6
202609101302,2026-09-10,13,02R,11:06,2026-09-10T10:56:28.462905+09:00,9.1,75.5,18.7,65.7,14.2,78.9,19.4,58.2,136.5,165.1,191.9,154.3,37.7,55.9,114.5,116.4,98.6,157.8,244.8,221.9,15.9,86.5,21.3,92.2,21.0,97.2,13.3,80.6,295.8,202.8,394.5,473.4,41.0,29.2,373.7,120.3,229.0,186.8,394.5,263.0,33.3,94.6,30.8,79.7,42.7,52.2,20.1,93.4,124.5,169.0,373.7,236.7,62.8,36.2,136.5,68.2,182.0,182.0,284.0,118.3,263.0,338.1,215.1,355.0,215.1,169.0,308.7,507.2,244.8,177.5,338.1,546.2,355.0,355.0,443.8,887.6,645.5,645.5,645.5,645.5,94.6,93.4,215.1,208.8,116.4,76.3,355.0,253.6,129.1,80.6,394.5,144.9,308.7,710.1,710.1,507.2,394.5,394.5,417.7,546.2,273.1,215.1,338.1,591.7,338.1,373.7,645.5,1014,417.7,355.0,394.5,473.4,645.5,1014,1183,1420,710.1,1183,645.5,1183
202609101702,2026-09-10,17,02R,11:11,2026-09-10T11:02:22.649704+09:00,23.9,20.6,46.2,132.0,27.8,23.2,44.0,134.7,19.2,38.5,31.7,102.6,61.0,75.2,34.2,202.1,239.5,248.7,269.5,462.0,61.6,52.5,68.8,165.8,99.5,78.8,81.8,323.4,73.5,68.8,44.0,239.5,87.4,143.7,91.1,539.0,588.0,646.8,462.0,808.5,65.3,60.4,80.8,248.7,190.2,45.5,54.8,202.1,115.5,78.8,119.7,269.5,119.7,134.7,109.6,258.7,497.5,462.0,269.5,497.5,17.7,51.3,21.7,95.1,40.6,43.4,24.7,117.6,78.8,58.2,73.5,308.0,26.2,27.5,54.8,107.8,184.8,161.7,258.7,208.6,129.3,126.8,101.0,380.5,170.2,202.1,107.8,380.5,223.0,208.6,170.2,588.0,87.4,102.6,140.6,184.8,359.3,308.0,404.2,269.5,308.0,258.7,431.2,718.7,404.2,497.5,539.0,646.8,588.0,808.5,431.2,808.5,924.1,431.2,539.0,308.0,646.8,718.7,1293,497.5
202609100301,2026-09-10,03,01R,11:14,2026-09-10T11:04:25.475462+09:00,10.4,57.9,21.6,14.7,17.0,42.3,23.0,24.2,116.8,131.1,87.2,92.4,31.3,32.8,77.7,28.2,36.6,41.8,124.8,44.8,35.1,107.2,52.7,36.8,86.9,293.4,111.8,207.7,221.4,378.6,282.8,340.2,84.4,123.5,198.9,109.2,75.7,209.6,255.1,141.4,55.9,111.2,69.8,72.0,108.1,167.7,96.6,186.3,297.1,308.9,237.1,469.5,98.6,126.9,170.1,160.8,149.5,219.4,469.5,234.7,244.5,308.9,215.3,215.3,301.0,419.2,273.0,397.9,361.2,617.8,301.0,782.6,205.9,335.4,340.2,249.7,301.0,378.6,652.1,378.6,37.5,57.8,98.6,36.4,62.1,118.5,184.8,79.0,91.3,141.4,200.6,115.6,176.5,252.4,207.7,143.1,54.6,95.8,113.4,131.8,105.7,105.2,252.4,122.2,130.4,266.7,602.0,282.8,145.8,289.8,546.0,378.6,434.7,489.1,670.8,479.1,123.5,266.7,301.0,397.9
202609102107,2026-09-10,21,07R,11:18,2026-09-10T11:08:23.437341+09:00,8.4,23.7,13.2,72.1,12.1,9.8,13.4,144.3,25.4,18.4,17.5,188.8,28.9,20.3,33.4,168.0,135.3,215.4,231.7,364.2,83.1,117.6,147.0,193.6,83.5,228.3,182.1,478.0,224.9,273.1,246.7,437.0,169.9,218.5,312.1,402.5,325.4,805.1,805.1,1092,53.1,36.7,47.3,224.9,119.5,89.4,87.9,268.3,75.7,116.7,59.9,509.9,74.6,126.4,79.6,347.6,463.5,611.8,695.3,392.2,107.7,94.4,71.1,402.5,203.9,259.2,144.3,424.9,94.4,268.3,126.4,695.3,97.4,193.6,149.9,332.5,764.8,493.4,1019,588.3,69.2,72.4,86.4,339.9,203.9,259.2,231.7,637.3,129.6,231.7,184.3,413.4,144.3,278.1,193.6,764.8,849.8,764.8,805.1,805.1,239.0,373.0,956.0,899.8,254.9,637.3,805.1,637.3,611.8,665.0,637.3,849.8,956.0,611.8,1699,1912,849.8,849.8,1390,1699
202609101602,2026-09-10,16,02R,11:22,2026-09-10T11:12:24.121930+09:00,98.5,183.2,102.3,147.1,158.2,109.9,82.8,222.2,174.0,204.7,197.0,261.1,84.2,70.0,137.4,135.6,149.2,254.7,242.8,232.1,83.5,111.1,74.0,222.2,91.6,103.4,24.0,127.3,135.6,127.3,106.5,248.6,49.9,19.7,58.6,43.8,326.3,282.2,261.1,127.3,121.4,107.6,64.0,193.4,124.3,51.9,16.2,104.4,100.4,82.8,40.4,87.7,36.0,18.2,28.7,24.8,282.2,193.4,130.5,81.5,171.2,227.0,141.1,213.1,316.5,186.5,82.8,242.8,158.2,227.0,72.0,168.4,122.8,121.4,68.7,125.8,298.4,290.1,316.5,217.5,97.6,109.9,135.6,112.3,78.5,23.5,75.6,43.1,62.9,23.6,49.0,30.3,128.9,97.6,79.1,78.5,107.6,56.7,42.8,93.2,348.1,373.0,360.1,307.1,474.7,454.1,522.2,204.7,454.1,336.9,307.1,135.6,522.2,454.1,549.7,282.2,274.8,168.4,135.6,274.8
