レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609140804,2026-09-14,08,04R,12:21,2026-09-14T12:12:24.507865+09:00,1118,2.0,4,1.0,3,25.0,28.0
202609141009,2026-09-14,10,09R,12:24,2026-09-14T12:14:29.296925+09:00,1153,3.0,1,3.0,2,26.0,26.0
202609141105,2026-09-14,11,05R,12:27,2026-09-14T12:18:24.074176+09:00,1159,3.0,2,3.0,2,27.0,27.0
202609140603,2026-09-14,06,03R,12:29,2026-09-14T12:20:27.668624+09:00,1203,2.0,4,1.0,3,25.0,27.0
202609140905,2026-09-14,09,05R,12:32,2026-09-14T12:22:25.964014+09:00,1207,2.0,3,1.0,2,26.0,25.0
202609142109,2026-09-14,21,09R,12:35,2026-09-14T12:26:25.981486+09:00,1204,1.0,3,1.0,2,23.5,26.7
202609140205,2026-09-14,02,05R,12:44,2026-09-14T12:34:23.228599+09:00,1217,2.0,5,1.0,1,30.0,25.0
202609141805,2026-09-14,18,05R,12:43,2026-09-14T12:34:23.228599+09:00,1213,3.0,6,3.0,2,27.0,27.0
202609140805,2026-09-14,08,05R,12:48,2026-09-14T12:38:22.205453+09:00,1225,2.0,4,1.0,2,25.0,28.0
202609142203,2026-09-14,22,03R,12:48,2026-09-14T12:38:22.205453+09:00,1151,2.0,5,2.0,2,25.0,27.0
202609140405,2026-09-14,04,05R,12:52,2026-09-14T12:42:20.110186+09:00,1225,6.0,5,4.0,1,30.0,26.0
202609141106,2026-09-14,11,06R,12:55,2026-09-14T12:46:24.011996+09:00,1230,3.0,2,3.0,2,27.0,27.0
202609141010,2026-09-14,10,10R,12:58,2026-09-14T12:48:23.199782+09:00,1227,3.0,1,3.0,2,26.0,26.0
202609140604,2026-09-14,06,04R,13:00,2026-09-14T12:50:25.376455+09:00,1233,1.0,4,0.0,2,24.0,27.0
202609140906,2026-09-14,09,06R,13:02,2026-09-14T12:52:21.147614+09:00,1207,2.0,3,1.0,2,26.0,25.0
202609142110,2026-09-14,21,10R,13:11,2026-09-14T13:02:27.107281+09:00,1238,2.0,3,2.0,2,23.5,26.7
202609140206,2026-09-14,02,06R,13:14,2026-09-14T13:04:24.717350+09:00,1247,3.0,5,1.0,1,30.0,25.0
202609141806,2026-09-14,18,06R,13:14,2026-09-14T13:04:24.717350+09:00,1213,3.0,6,3.0,2,27.0,27.0
202609140806,2026-09-14,08,06R,13:18,2026-09-14T13:08:26.484066+09:00,1252,2.0,4,1.0,2,25.0,28.0
202609142204,2026-09-14,22,04R,13:18,2026-09-14T13:08:26.484066+09:00,1251,2.0,5,2.0,2,25.0,27.0
202609140406,2026-09-14,04,06R,13:22,2026-09-14T13:12:22.884261+09:00,1255,6.0,5,4.0,1,30.0,26.0
202609141107,2026-09-14,11,07R,13:26,2026-09-14T13:16:25.414071+09:00,1258,5.0,2,4.0,2,27.0,27.0
202609140605,2026-09-14,06,05R,13:29,2026-09-14T13:20:27.380041+09:00,1304,2.0,3,1.0,2,25.0,27.0
202609141011,2026-09-14,10,11R,13:32,2026-09-14T13:22:22.897352+09:00,1301,5.0,1,5.0,2,26.0,26.0
202609140907,2026-09-14,09,07R,13:34,2026-09-14T13:24:22.444507+09:00,1236,2.0,3,1.0,2,26.0,25.0
202609142205,2026-09-14,22,05R,13:44,2026-09-14T13:34:21.213036+09:00,1251,2.0,5,2.0,2,25.0,27.0
202609140207,2026-09-14,02,07R,13:45,2026-09-14T13:36:23.100584+09:00,1317,3.0,5,1.0,1,30.0,25.0
202609141807,2026-09-14,18,07R,13:45,2026-09-14T13:36:23.100584+09:00,1246,5.0,4,5.0,2,27.0,27.0
202609140807,2026-09-14,08,07R,13:48,2026-09-14T13:38:23.829792+09:00,1322,3.0,4,1.0,2,26.0,28.0
202609142111,2026-09-14,21,11R,13:49,2026-09-14T13:40:23.713666+09:00,1314,1.0,6,1.0,3,23.3,26.7
202609140407,2026-09-14,04,07R,13:53,2026-09-14T13:44:20.851645+09:00,1325,7.0,5,5.0,1,30.0,26.0
202609141108,2026-09-14,11,08R,13:57,2026-09-14T13:48:25.882434+09:00,1329,3.0,8,3.0,3,26.0,27.0
202609140606,2026-09-14,06,06R,14:00,2026-09-14T13:50:29.810407+09:00,1333,2.0,2,1.0,2,26.0,27.0
202609140908,2026-09-14,09,08R,14:04,2026-09-14T13:54:26.064262+09:00,1306,3.0,4,2.0,2,26.0,25.0
202609141012,2026-09-14,10,12R,14:11,2026-09-14T14:02:23.719188+09:00,1335,2.0,1,2.0,2,25.0,26.0
202609140808,2026-09-14,08,08R,14:13,2026-09-14T14:04:25.927208+09:00,1322,3.0,4,1.0,2,26.0,28.0
202609142206,2026-09-14,22,06R,14:14,2026-09-14T14:04:25.927208+09:00,1347,2.0,5,2.0,3,26.0,27.0
202609140208,2026-09-14,02,08R,14:16,2026-09-14T14:06:22.104497+09:00,1348,3.0,5,1.0,1,30.0,26.0
